Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.179    0.045 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1149(<listcomp>)
       39    0.002    0.000    0.173    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\text.py:270(_get_layout)
       26    0.000    0.000    0.164    0.006 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:193(get_text_width_height_descent)
        1    0.000    0.000    0.163    0.163 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:490(__init__)
        1    0.000    0.000    0.163    0.163 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:515(_get_toolbar)
        1    0.000    0.000    0.163    0.163 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:588(__init__)
        1    0.000    0.000    0.163    0.163 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backend_bases.py:2616(__init__)
        1    0.000    0.000    0.163    0.163 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:637(_init_toolbar)
        7    0.000    0.000    0.157    0.022 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:620(_Button)
       39    0.000    0.000    0.156    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:241(_get_agg_font)
   566864    0.143    0.000    0.143    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\function_base.py:741(_copy_dispatcher)
      172    0.002    0.000    0.129    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\format.py:606(write_array)
        1    0.000    0.000    0.126    0.126 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2003(__init__)
        1    0.126    0.126    0.126    0.126 {built-in method _tkinter.create}
      172    0.003    0.000    0.099    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\format.py:392(_write_array_header)
      173    0.092    0.001    0.092    0.001 {built-in method io.open}
