Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3529    0.018    0.000    0.074    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tokenize.py:487(_tokenize)
        1    0.000    0.000    0.074    0.074 C:/Users/shahar/Research/RC_SET/dots_array.py:751(getArrayParameters)
        1    0.000    0.000    0.074    0.074 C:/Users/shahar/Research/RC_SET/dots_array.py:585(__str__)
        7    0.000    0.000    0.073    0.010 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:1512(_array_str_implementation)
        7    0.000    0.000    0.073    0.010 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:520(array2string)
       45    0.001    0.000    0.073    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\font_manager.py:1179(findfont)
        6    0.000    0.000    0.073    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:465(wrapper)
        6    0.000    0.000    0.073    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:482(_array2string)
        6    0.000    0.000    0.072    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:413(_get_format_function)
        6    0.000    0.000    0.072    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:369(<lambda>)
        6    0.000    0.000    0.072    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:844(__init__)
        6    0.022    0.004    0.072    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:871(fillFormat)
        4    0.000    0.000    0.071    0.018 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1322(get_majorticklocs)
        1    0.000    0.000    0.070    0.070 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\gridspec.py:86(get_grid_positions)
        1    0.003    0.003    0.069    0.069 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\font_manager.py:1240(_findfont_cached)
        1    0.000    0.000    0.068    0.068 <__array_function__ internals>:2(eig)
        1    0.067    0.067    0.068    0.068 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\linalg\linalg.py:1182(eig)
        7    0.000    0.000    0.067    0.010 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2350(__init__)
        1    0.000    0.000    0.063    0.063 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:2388(autoscale_view)
        2    0.000    0.000    0.063    0.032 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:2425(handle_single_axis)
        1    0.000    0.000    0.063    0.063 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2033(_loadtk)
        2    0.063    0.031    0.063    0.031 {method 'getvar' of '_tkinter.tkapp' objects}
        8    0.000    0.000    0.061    0.008 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:862(set_tick_params)
        8    0.000    0.000    0.057    0.007 <__array_function__ internals>:2(clip)
        8    0.000    0.000    0.057    0.007 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:1974(clip)
        7    0.057    0.008    0.057    0.008 {built-in method nt.stat}
        8    0.000    0.000    0.057    0.007 {method 'clip' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.057    0.007 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\_methods.py:97(_clip)
        5    0.000    0.000    0.057    0.011 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\genericpath.py:27(isfile)
      6/4    0.000    0.000    0.057    0.014 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:658(__get__)
        2    0.000    0.000    0.055    0.028 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:2744(grid)
        4    0.000    0.000    0.055    0.014 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1432(grid)
       93    0.006    0.000    0.051    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\lines.py:273(__init__)
       41    0.004    0.000    0.050    0.001 C:/Users/shahar/Research/RC_SET/dots_array.py:415(setConstWork)
       14    0.000    0.000    0.049    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:926(<genexpr>)
       14    0.000    0.000    0.049    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\arrayprint.py:921(<genexpr>)
       16    0.049    0.003    0.049    0.003 {built-in method numpy.core._multiarray_umath.dragon4_positional}
        4    0.000    0.000    0.049    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1404(get_major_ticks)
       40    0.000    0.000    0.048    0.001 C:/Users/shahar/Research/RC_SET/dots_array.py:308(changeVext)
      106    0.001    0.000    0.047    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\transforms.py:1976(scale)
       15    0.000    0.000    0.047    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:484(_get_gridline)
        2    0.000    0.000    0.046    0.023 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:945(set_clip_path)
